Right Shoulder Angle:	298	 Right Elbow Angle:	171	Base Rotation Angle:	95	Left Shoulder Elbow148
Right Shoulder Angle:	320	 Right Elbow Angle:	163	Base Rotation Angle:	91	Left Shoulder Elbow149
Right Shoulder Angle:	320	 Right Elbow Angle:	120	Base Rotation Angle:	89	Left Shoulder Elbow152
Right Shoulder Angle:	343	 Right Elbow Angle:	66	Base Rotation Angle:	88	Left Shoulder Elbow158
Right Shoulder Angle:	355	 Right Elbow Angle:	28	Base Rotation Angle:	90	Left Shoulder Elbow161
Right Shoulder Angle:	358	 Right Elbow Angle:	33	Base Rotation Angle:	90	Left Shoulder Elbow162
Right Shoulder Angle:	362	 Right Elbow Angle:	34	Base Rotation Angle:	92	Left Shoulder Elbow159
Right Shoulder Angle:	361	 Right Elbow Angle:	36	Base Rotation Angle:	94	Left Shoulder Elbow160
Right Shoulder Angle:	361	 Right Elbow Angle:	38	Base Rotation Angle:	96	Left Shoulder Elbow158
Right Shoulder Angle:	361	 Right Elbow Angle:	39	Base Rotation Angle:	95	Left Shoulder Elbow160
Right Shoulder Angle:	361	 Right Elbow Angle:	39	Base Rotation Angle:	97	Left Shoulder Elbow160
Right Shoulder Angle:	361	 Right Elbow Angle:	41	Base Rotation Angle:	96	Left Shoulder Elbow163
Right Shoulder Angle:	363	 Right Elbow Angle:	43	Base Rotation Angle:	97	Left Shoulder Elbow162
Right Shoulder Angle:	362	 Right Elbow Angle:	44	Base Rotation Angle:	98	Left Shoulder Elbow160
Right Shoulder Angle:	361	 Right Elbow Angle:	45	Base Rotation Angle:	94	Left Shoulder Elbow163
Right Shoulder Angle:	361	 Right Elbow Angle:	45	Base Rotation Angle:	96	Left Shoulder Elbow165
Right Shoulder Angle:	362	 Right Elbow Angle:	46	Base Rotation Angle:	97	Left Shoulder Elbow172
Right Shoulder Angle:	364	 Right Elbow Angle:	50	Base Rotation Angle:	120	Left Shoulder Elbow156
Right Shoulder Angle:	366	 Right Elbow Angle:	50	Base Rotation Angle:	127	Left Shoulder Elbow175
Right Shoulder Angle:	365	 Right Elbow Angle:	52	Base Rotation Angle:	139	Left Shoulder Elbow177
Right Shoulder Angle:	366	 Right Elbow Angle:	52	Base Rotation Angle:	151	Left Shoulder Elbow173
Right Shoulder Angle:	366	 Right Elbow Angle:	52	Base Rotation Angle:	154	Left Shoulder Elbow171
Right Shoulder Angle:	366	 Right Elbow Angle:	53	Base Rotation Angle:	158	Left Shoulder Elbow170
Right Shoulder Angle:	365	 Right Elbow Angle:	53	Base Rotation Angle:	157	Left Shoulder Elbow167
Right Shoulder Angle:	365	 Right Elbow Angle:	54	Base Rotation Angle:	159	Left Shoulder Elbow167
Right Shoulder Angle:	366	 Right Elbow Angle:	54	Base Rotation Angle:	160	Left Shoulder Elbow169
Right Shoulder Angle:	367	 Right Elbow Angle:	53	Base Rotation Angle:	158	Left Shoulder Elbow170
Right Shoulder Angle:	366	 Right Elbow Angle:	53	Base Rotation Angle:	161	Left Shoulder Elbow178
Right Shoulder Angle:	362	 Right Elbow Angle:	57	Base Rotation Angle:	152	Left Shoulder Elbow177
Right Shoulder Angle:	363	 Right Elbow Angle:	57	Base Rotation Angle:	125	Left Shoulder Elbow170
Right Shoulder Angle:	360	 Right Elbow Angle:	59	Base Rotation Angle:	104	Left Shoulder Elbow171
Right Shoulder Angle:	359	 Right Elbow Angle:	62	Base Rotation Angle:	79	Left Shoulder Elbow168
Right Shoulder Angle:	358	 Right Elbow Angle:	64	Base Rotation Angle:	73	Left Shoulder Elbow150
Right Shoulder Angle:	357	 Right Elbow Angle:	66	Base Rotation Angle:	69	Left Shoulder Elbow147
Right Shoulder Angle:	356	 Right Elbow Angle:	69	Base Rotation Angle:	69	Left Shoulder Elbow149
Right Shoulder Angle:	355	 Right Elbow Angle:	69	Base Rotation Angle:	73	Left Shoulder Elbow152
Right Shoulder Angle:	352	 Right Elbow Angle:	71	Base Rotation Angle:	75	Left Shoulder Elbow154
Right Shoulder Angle:	352	 Right Elbow Angle:	73	Base Rotation Angle:	80	Left Shoulder Elbow155
Right Shoulder Angle:	355	 Right Elbow Angle:	74	Base Rotation Angle:	80	Left Shoulder Elbow155
Right Shoulder Angle:	360	 Right Elbow Angle:	70	Base Rotation Angle:	81	Left Shoulder Elbow155
Right Shoulder Angle:	357	 Right Elbow Angle:	72	Base Rotation Angle:	79	Left Shoulder Elbow157
Right Shoulder Angle:	362	 Right Elbow Angle:	78	Base Rotation Angle:	79	Left Shoulder Elbow158
